text,risk_label,rationale,category
IT may check network access records on employer-managed devices for specific investigations tied to policy breaches with a published retention period and approval workflow.,low,The monitoring language defines a legitimate purpose and clear notice-based safeguards.,monitoring
The company will handle termination decisions through a documented investigation and review process employees are informed of notice periods and final pay timelines.,low,"The termination policy describes notice, review, and documentation safeguards.",termination
"The company will screen applicants against objective criteria tied to the position description, with interviewers receive bias-mitigation guidance.",low,The wording points to low risk because selection is tied to job requirements.,hiring
The company will apply workplace rules through a written policy available to employees employees are told how to raise concerns and seek review.,low,"The workplace policy explains expectations, review paths, and documentation controls.",workplace_policy
The company will manage compensation changes through written notice and documented approval the policy explains how lawful deductions and final pay are handled.,low,"The compensation policy explains notice, approval, and compliance safeguards.",compensation
"Security teams will review personal information according to a published privacy notice, and consent or acknowledgment is obtained when required.",low,"The wording includes consent, notice, or access safeguards that reduce compliance risk.",data_usage
Security staff may monitor device usage logs when leadership believes it is appropriate.,medium,"The monitoring clause is vague about scope, notice, and approval controls.",monitoring
Management may end employment at management discretion the policy does not define notice periods.,medium,The termination language is discretionary and omits a clear procedure.,termination
"The company may prioritize people who reflect the right cultural fit, while without listing role-based scoring rules.",medium,The wording merits review because role-based safeguards are not clearly defined.,hiring
Managers may apply workplace rules as appropriate to the circumstances the policy does not define escalation steps.,medium,The workplace policy is partially structured but still too vague on procedure.,workplace_policy
"The company may take into account appearance expectations, while without clarifying what job criteria outweigh personal preferences.",medium,The clause should be reviewed because subjective employment criteria are not bounded clearly.,discrimination
"Managers can use location and access logs, while without listing which teams can access the data.",medium,The wording should be reviewed because employee data handling rules are incomplete.,data_usage
"Management reserves the right to record every call, email, and chat handled by staff during and after working hours without prior consent.",high,The language suggests unrestricted surveillance of employees and weak privacy safeguards.,monitoring
The employer may fire workers without delay without manager sign-off beyond verbal instruction without severance discussions.,high,The policy authorizes immediate dismissal without due process.,termination
Recruiters should hire only candidates who are young and energetic even when the trait is unrelated to job duties.,high,The hiring language uses protected or discriminatory criteria unrelated to the role.,hiring
Managers may assign work based on gender expectations rather than job performance.,high,The policy uses protected traits in employment decisions unrelated to job duties.,discrimination
HR may cut compensation even if the employee already performed the work without a written amendment.,high,The policy creates wage and employment risk by allowing deductions or cuts without safeguards.,compensation
The company may use employee location data outside working hours without consent.,high,The data-use clause allows broad collection or sharing without consent or purpose limits.,data_usage
